RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,20,2,0.4,0.75,,0.2403,0.2292,0.6460,0.7671,0.7619,0.7645,0.6908,0.6126,0.6121,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,45,2,0.4,1.0,,0.2558,0.2326,0.6341,0.7667,0.7528,0.7597,0.7270,0.6189,0.6325,

RDTLabel,Best Macro-averaged Precision,500,15,2,,,,0.1783,0.2547,0.6030,0.7392,0.7392,0.7392,0.6442,0.6081,0.6059,
RDTPercentage,Best Macro-averaged Precision,500,10,2,,,,0.1705,0.2447,0.6069,0.7535,0.7415,0.7474,0.6689,0.6099,0.6165,
RDTLabelPowerset,Best Macro-averaged Precision,500,35,2,,,,0.2016,0.2846,0.5702,0.7140,0.6961,0.7049,0.6157,0.5999,0.6051,
RDTChainLabel,Best Macro-averaged Precision,500,35,2,0.45,,,0.2636,0.2337,0.6413,0.7662,0.7506,0.7583,0.8043,0.6033,0.6059,
RDTChainPercentage,Best Macro-averaged Precision,500,5,2,0.45,,,0.1783,0.2569,0.6028,0.7506,0.7098,0.7296,0.7603,0.5454,0.5335,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,35,2,0.4,0.0,,0.1628,0.2625,0.5969,0.7406,0.7120,0.7260,0.6624,0.5456,0.5290,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,10,2,0.4,0.25,,0.2016,0.2525,0.6127,0.7518,0.7211,0.7361,0.6912,0.5534,0.5397,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,40,2,0.4,0.5,,0.2326,0.2425,0.6290,0.7581,0.7392,0.7486,0.6613,0.5799,0.5735,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,35,2,0.4,0.75,,0.2403,0.2359,0.6390,0.7627,0.7506,0.7566,0.6690,0.5936,0.5875,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,35,2,0.4,1.0,,0.2713,0.2337,0.6420,0.7626,0.7574,0.7600,0.8003,0.6169,0.6239,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,25,2,0.4,0.0,,0.1395,0.2403,0.6090,0.7679,0.7279,0.7474,0.6921,0.5613,0.5503,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,10,2,0.4,0.25,,0.1860,0.2425,0.6161,0.7618,0.7324,0.7468,0.7664,0.5719,0.5688,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,20,2,0.4,0.5,,0.2093,0.2370,0.6277,0.7585,0.7551,0.7568,0.7134,0.6027,0.5992,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,45,2,0.4,0.75,,0.2326,0.2348,0.6375,0.7620,0.7551,0.7585,0.7104,0.6058,0.6064,
