RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Micro-averaged Precision,500,25,2,,,,0.1913,0.2077,0.5246,0.6643,0.6310,0.6473,0.3969,0.3671,0.3419,
RDTPercentage,Best Micro-averaged Precision,500,35,2,,,,0.0760,0.2121,0.4052,0.7614,0.4333,0.5523,0.4203,0.2076,0.2257,
RDTLabelPowerset,Best Micro-averaged Precision,500,20,2,,,,0.1960,0.2374,0.4795,0.6135,0.5782,0.5953,0.3889,0.3617,0.3622,
RDTChainLabel,Best Micro-averaged Precision,500,35,2,0.1,,,0.2000,0.2059,0.5295,0.6682,0.6325,0.6498,0.4081,0.3683,0.3420,
RDTChainPercentage,Best Micro-averaged Precision,500,15,2,0.1,,,0.1013,0.2077,0.4208,0.7660,0.4497,0.5667,0.4177,0.2213,0.2433,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,20,2,0.4,0.0,,0.1107,0.2329,0.4691,0.6196,0.5930,0.6060,0.3901,0.3266,0.2810,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,20,2,0.4,0.25,,0.1373,0.2275,0.4809,0.6301,0.5971,0.6132,0.4035,0.3304,0.2880,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,20,2,0.4,0.5,,0.1613,0.2222,0.4950,0.6397,0.6052,0.6219,0.3409,0.3392,0.3000,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,30,2,0.4,0.75,,0.1933,0.2191,0.5080,0.6449,0.6108,0.6274,0.4063,0.3486,0.3116,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,40,2,0.4,1.0,,0.1953,0.2253,0.5015,0.6339,0.6008,0.6169,0.3973,0.3463,0.3081,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,500,45,2,0.4,0.0,,0.0127,0.2311,0.3346,0.7481,0.3540,0.4806,0.1783,0.1430,0.1225,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,500,15,2,0.4,0.25,,0.0147,0.2300,0.3387,0.7499,0.3579,0.4846,0.2497,0.1464,0.1291,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,15,2,0.4,0.5,,0.0533,0.2226,0.3652,0.7584,0.3857,0.5113,0.3546,0.1703,0.1708,
