RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,500,20,2,0.4,0.5,,0.0435,0.0889,0.1408,0.2623,0.3284,0.2917,0.1572,0.1366,0.1028,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,500,35,2,0.4,0.75,,0.0559,0.0866,0.1539,0.2755,0.3402,0.3045,0.1983,0.1486,0.1196,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,25,2,0.4,1.0,,0.4068,0.0588,0.4927,0.4581,0.3050,0.3662,0.2751,0.1440,0.1530,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Precision,500,25,2,0.4,1.0,,0.4441,0.0554,0.4464,1.0000,0.0059,0.0117,0.0526,0.0030,0.0057,

RDTLabel,Best Micro-averaged Recall,500,30,2,,,,0.3168,0.0631,0.4330,0.4324,0.4223,0.4273,0.3007,0.2360,0.2333,
RDTPercentage,Best Micro-averaged Recall,500,25,2,,,,0.4472,0.0539,0.4653,0.7619,0.0469,0.0884,0.0825,0.0166,0.0275,
RDTLabelPowerset,Best Micro-averaged Recall,500,30,2,,,,0.4658,0.0495,0.5087,0.7436,0.1701,0.2768,0.5750,0.1590,0.2378,
RDTChainLabel,Best Micro-averaged Recall,500,45,2,0.05,,,0.3509,0.0628,0.4566,0.4330,0.4076,0.4199,0.3095,0.2328,0.2377,
RDTChainPercentage,Best Micro-averaged Recall,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,500,25,2,0.4,0.0,,0.0311,0.0943,0.1402,0.2479,0.3402,0.2868,0.2469,0.1462,0.1069,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,500,35,2,0.4,0.25,,0.0311,0.0927,0.1408,0.2543,0.3431,0.2921,0.2352,0.1478,0.1082,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,500,50,2,0.4,0.5,,0.0311,0.0909,0.1434,0.2616,0.3460,0.2980,0.2290,0.1525,0.1210,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,35,2,0.4,0.75,,0.0559,0.0866,0.1539,0.2755,0.3402,0.3045,0.1983,0.1486,0.1196,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,40,2,0.4,1.0,,0.3602,0.0618,0.4523,0.4302,0.3343,0.3762,0.2529,0.1607,0.1628,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Micro-averaged F-Measure,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Micro-averaged F-Measure,500,25,2,,,,0.4472,0.0539,0.4653,0.7619,0.0469,0.0884,0.0825,0.0166,0.0275,
RDTLabelPowerset,Best Micro-averaged F-Measure,500,30,2,,,,0.4658,0.0495,0.5087,0.7436,0.1701,0.2768,0.5750,0.1590,0.2378,
RDTChainLabel,Best Micro-averaged F-Measure,500,45,2,0.05,,,0.3509,0.0628,0.4566,0.4330,0.4076,0.4199,0.3095,0.2328,0.2377,
RDTChainPercentage,Best Micro-averaged F-Measure,500,45,2,0.05,,,0.4503,0.0538,0.4643,0.9286,0.0381,0.0732,0.0947,0.0134,0.0235,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,35,2,0.4,0.0,,0.0342,0.0935,0.1395,0.2505,0.3402,0.2886,0.2622,0.1439,0.1000,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,35,2,0.4,0.25,,0.0311,0.0927,0.1408,0.2543,0.3431,0.2921,0.2352,0.1478,0.1082,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,50,2,0.4,0.5,,0.0311,0.0909,0.1434,0.2616,0.3460,0.2980,0.2290,0.1525,0.1210,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,35,2,0.4,0.75,,0.0559,0.0866,0.1539,0.2755,0.3402,0.3045,0.1983,0.1486,0.1196,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,40,2,0.4,1.0,,0.3602,0.0618,0.4523,0.4302,0.3343,0.3762,0.2529,0.1607,0.1628,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Macro-averaged Precision,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Macro-averaged Precision,500,35,2,,,,0.4441,0.0541,0.4596,0.8125,0.0381,0.0728,0.0860,0.0148,0.0251,
RDTLabelPowerset,Best Macro-averaged Precision,500,45,2,,,,0.4596,0.0502,0.5036,0.7237,0.1613,0.2638,0.6226,0.1621,0.2439,
RDTChainLabel,Best Macro-averaged Precision,500,45,2,0.1,,,0.3416,0.0637,0.4448,0.4222,0.3900,0.4055,0.3809,0.2218,0.2318,
RDTChainPercentage,Best Macro-averaged Precision,500,15,2,0.1,,,0.4441,0.0552,0.4480,1.0000,0.0088,0.0174,0.1053,0.0038,0.0073,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,35,2,0.4,0.0,,0.0342,0.0935,0.1395,0.2505,0.3402,0.2886,0.2622,0.1439,0.1000,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,35,2,0.4,0.25,,0.0311,0.0927,0.1408,0.2543,0.3431,0.2921,0.2352,0.1478,0.1082,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,50,2,0.4,0.5,,0.0311,0.0909,0.1434,0.2616,0.3460,0.2980,0.2290,0.1525,0.1210,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,30,2,0.4,0.75,,0.0528,0.0870,0.1496,0.2721,0.3343,0.3000,0.2037,0.1458,0.1164,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,20,2,0.4,1.0,,0.3789,0.0615,0.4623,0.4229,0.2815,0.3380,0.2875,0.1241,0.1303,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
