RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTLabel,Best Micro-averaged F-Measure,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Micro-averaged F-Measure,500,30,2,,,,0.0479,0.1738,0.0479,0.6186,0.0467,0.0868,0.5158,0.0511,0.0809,
RDTLabelPowerset,Best Micro-averaged F-Measure,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Micro-averaged F-Measure,500,30,2,0.05,,,0.2948,0.2325,0.3137,0.3339,0.3149,0.3241,0.3946,0.3250,0.3290,
RDTChainPercentage,Best Micro-averaged F-Measure,500,25,2,0.3,,,0.2386,0.2312,0.2567,0.3148,0.2605,0.2851,0.3529,0.2625,0.2777,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,500,25,2,0.4,0.0,,0.1668,0.2737,0.1881,0.2097,0.1975,0.2034,0.3410,0.1738,0.1564,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,500,25,2,0.4,0.25,,0.2031,0.2622,0.2236,0.2444,0.2302,0.2371,0.3434,0.2063,0.1894,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,500,25,2,0.4,0.5,,0.2279,0.2531,0.2497,0.2717,0.2558,0.2635,0.3339,0.2353,0.2215,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,25,2,0.4,0.75,,0.2221,0.2553,0.2435,0.2651,0.2496,0.2571,0.2978,0.2373,0.2317,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,30,2,0.4,1.0,,0.2304,0.2545,0.2484,0.2679,0.2527,0.2601,0.2693,0.2465,0.2441,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged F-Measure,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged F-Measure,500,15,2,0.4,0.75,,0.0116,0.1903,0.0132,0.1353,0.0140,0.0254,0.3122,0.0149,0.0275,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged F-Measure,500,30,2,0.4,1.0,,0.2304,0.2530,0.2484,0.2704,0.2527,0.2613,0.2708,0.2465,0.2449,

RDTLabel,Best Macro-averaged Precision,500,30,2,,,,0.2973,0.2308,0.3174,0.3388,0.3196,0.3289,0.4031,0.3297,0.3352,
RDTPercentage,Best Macro-averaged Precision,500,15,2,,,,0.0388,0.1741,0.0388,0.6364,0.0381,0.0719,0.5904,0.0418,0.0700,
RDTLabelPowerset,Best Macro-averaged Precision,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Macro-averaged Precision,500,30,2,0.05,,,0.2948,0.2325,0.3137,0.3339,0.3149,0.3241,0.3946,0.3250,0.3290,
RDTChainPercentage,Best Macro-averaged Precision,500,15,2,0.05,,,0.0462,0.1733,0.0471,0.6452,0.0467,0.0870,0.5187,0.0513,0.0836,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,500,25,2,0.4,0.0,,0.1668,0.2737,0.1881,0.2097,0.1975,0.2034,0.3410,0.1738,0.1564,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,500,25,2,0.4,0.25,,0.2031,0.2622,0.2236,0.2444,0.2302,0.2371,0.3434,0.2063,0.1894,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,500,25,2,0.4,0.5,,0.2279,0.2531,0.2497,0.2717,0.2558,0.2635,0.3339,0.2353,0.2215,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,35,2,0.4,0.75,,0.2081,0.2608,0.2282,0.2486,0.2341,0.2411,0.3002,0.2205,0.2179,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,35,2,0.4,1.0,,0.2106,0.2619,0.2274,0.2457,0.2317,0.2385,0.2697,0.2255,0.2294,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Macro-averaged Precision,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Macro-averaged Precision,500,20,2,0.4,0.75,,0.0041,0.1785,0.0041,0.2381,0.0039,0.0077,0.3444,0.0043,0.0085,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Macro-averaged Precision,500,30,2,0.4,1.0,,0.2304,0.2530,0.2484,0.2704,0.2527,0.2613,0.2708,0.2465,0.2449,

RDTLabel,Best Macro-averaged Recall,500,25,2,,,,0.2973,0.2311,0.3170,0.3380,0.3188,0.3281,0.3838,0.3306,0.3308,
RDTPercentage,Best Macro-averaged Recall,500,30,2,,,,0.0479,0.1738,0.0479,0.6186,0.0467,0.0868,0.5158,0.0511,0.0809,
RDTLabelPowerset,Best Macro-averaged Recall,500,30,2,,,,0.2948,0.2327,0.3132,0.3331,0.3142,0.3233,0.3861,0.3279,0.3326,
RDTChainLabel,Best Macro-averaged Recall,500,30,2,0.05,,,0.2948,0.2325,0.3137,0.3339,0.3149,0.3241,0.3946,0.3250,0.3290,
RDTChainPercentage,Best Macro-averaged Recall,500,25,2,0.3,,,0.2386,0.2312,0.2567,0.3148,0.2605,0.2851,0.3529,0.2625,0.2777,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Macro-averaged Recall,500,25,2,0.4,0.0,,0.1668,0.2737,0.1881,0.2097,0.1975,0.2034,0.3410,0.1738,0.1564,
