RDTLabel,,trees,maxHeight,maxS,,,,Subset Accuracy,Hamming Loss,Example-Based Accuracy,Micro-averaged Precision,Micro-averaged Recall,Micro-averaged F-Measure,Macro-averaged Precision,Macro-averaged Recall,Macro-averaged F-Measure,
RDTChainPercentage,Best Micro-averaged Recall,500,35,2,0.05,,,0.4503,0.0539,0.4630,0.8667,0.0381,0.0730,0.0912,0.0148,0.0253,
RDTChainLabel_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,500,50,2,0.4,0.0,,0.0248,0.1250,0.1331,0.1873,0.3724,0.2493,0.1269,0.1754,0.1119,
RDTChainLabel_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,500,25,2,0.4,0.25,,0.0248,0.1203,0.1415,0.1957,0.3724,0.2566,0.2286,0.1724,0.1128,
RDTChainLabel_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,500,25,2,0.4,0.5,,0.0248,0.1144,0.1510,0.2128,0.3900,0.2754,0.1723,0.1806,0.1192,
RDTChainLabel_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,500,50,2,0.4,0.75,,0.0342,0.0933,0.1560,0.2643,0.3783,0.3112,0.1997,0.1730,0.1347,
RDTChainLabel_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,25,2,0.4,1.0,,0.3168,0.0639,0.4067,0.4132,0.3490,0.3784,0.2331,0.1706,0.1696,
RDTChainPerc_PercLabels= 0.4_Active=0.0,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.25,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.5,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=0.75,Best Micro-averaged Recall,null,null,null,null,null,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
RDTChainPerc_PercLabels= 0.4_Active=1.0,Best Micro-averaged Recall,500,45,2,0.4,1.0,,0.4503,0.0546,0.4578,0.8889,0.0235,0.0457,0.0921,0.0086,0.0157,

RDTLabel,Best Micro-averaged F-Measure,500,25,2,,,,0.3292,0.0626,0.4428,0.4360,0.4194,0.4275,0.3797,0.2488,0.2521,
RDTPercentage,Best Micro-averaged F-Measure,500,25,2,,,,0.4472,0.0539,0.4653,0.7619,0.0469,0.0884,0.0825,0.0166,0.0275,
RDTLabelPowerset,Best Micro-averaged F-Measure,500,30,2,,,,0.4658,0.0497,0.5087,0.7342,0.1701,0.2762,0.5750,0.1590,0.2378,
